ATT ГЛОБАЛ НЕТВОРК СЕРВИСЕЗ,Л030-00114-77/00050133,2015-09-14,2026-09-14,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
АВАНТЕК-ПЛЮС,Л030-00114-77/00079370,2021-03-23,2026-03-23,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
АВАНТЕК-ПЛЮС,Л030-00114-77/00079371,2021-03-23,2026-03-23,Телематические услуги связи
АГРОСВЯЗЬ,Л030-00114-77/00052753,2016-05-26,2026-05-26,Телематические услуги связи
АМИКО,Л030-00114-77/00052313,2016-03-21,2026-03-21,Телематические услуги связи
АТМОСФЕРИКА,Л030-00114-77/00074828,2019-12-25,2029-12-25,Телематические услуги связи
АТМОСФЕРИКА,Л030-00114-77/00074829,2019-12-25,2029-12-25,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
БРИДЖ ТЕЛЕКОМ,Л030-00114-77/00980773,2023-12-21,2028-12-21,Телематические услуги связи
БРИДЖ ТЕЛЕКОМ,Л030-00114-77/00980809,2023-12-21,2028-12-21,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ВЕЛУНД,Л030-00114-77/00661558,2023-07-07,2028-07-07,Телематические услуги связи
ВИСТ ОН-ЛАЙН,Л030-00114-77/00073844,2015-10-27,2026-10-27,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ВИСТ ОН-ЛАЙН,Л030-00114-77/00073845,2015-10-27,2026-10-27,Телематические услуги связи
ВОЛГА-КАМП,Л030-00114-77/00074004,2019-12-11,2029-12-11,Телематические услуги связи
ВОЛГА-СВЯЗЬ-ТВ,Л030-00114-77/00057480,2017-01-26,2027-01-26,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ВОЛГА-СВЯЗЬ-ТВ,Л030-00114-77/00057717,2017-03-09,2027-03-09,Телематические услуги связи
ВОЛГА-СВЯЗЬ-ТВ,Л030-00114-77/01007513,2023-12-27,2028-12-27,Услуги связи по предоставлению каналов связи
ВОСТОК,Л030-00114-77/00060698,2017-11-02,2027-11-02,Телематические услуги связи
ВОСТОК-ТЕЛЕКОМ 2,Л030-00114-77/00109643,2019-01-29,2029-01-29,Услуги связи по предоставлению каналов связи
ВОСТОК-ТЕЛЕКОМ,Л030-00114-77/00067595,2018-12-11,2028-12-11,Услуги связи по предоставлению каналов связи
ВЫМПЕЛ-КОММУНИКАЦИИ,Л030-00114-77/00051855,2016-07-05,2026-07-05,Услуги связи по предоставлению каналов связи
ВЫМПЕЛ-КОММУНИКАЦИИ,Л030-00114-77/00052187,2016-04-15,2026-04-15,Телематические услуги связи
ВЫМПЕЛ-КОММУНИКАЦИИ,Л030-00114-77/00052238,2016-04-15,2026-04-15,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ВЫМПЕЛ-КОММУНИКАЦИИ,Л030-00114-77/00058432,2017-08-01,2027-08-01,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ВЫМПЕЛ-КОММУНИКАЦИИ,Л030-00114-77/00058433,2017-08-01,2027-08-01,Телематические услуги связи
ВЫМПЕЛ-КОММУНИКАЦИИ,Л030-00114-77/00066562,2018-11-12,2028-11-12,Услуги связи по предоставлению каналов связи
ГАЗПРОМНЕФТЬ ИНФОРМАЦИОННО-ТЕХНОЛОГИЧЕСКИЙ ОПЕРАТОР,Л030-00114-77/00077716,2019-08-04,2029-08-04,Телематические услуги связи
ГАЗПРОМНЕФТЬ ИНФОРМАЦИОННО-ТЕХНОЛОГИЧЕСКИЙ ОПЕРАТОР,Л030-00114-77/00077722,2019-08-04,2029-08-04,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ГАРАНТИЯ,Л030-00114-77/00106044,2016-12-28,2026-12-28,Услуги связи по предоставлению каналов связи
ГОРОДОК ТОЧКА РУ,Л030-00114-77/00070816,2017-08-04,2027-08-04,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ГОРОДОК ТОЧКА РУ,Л030-00114-77/00070817,2017-12-06,2027-12-06,Телематические услуги связи
ГП ИНТЕРНЕТ,Л030-00114-77/00059286,2017-08-20,2027-08-20,Телематические услуги связи
ГП ИНТЕРНЕТ,Л030-00114-77/00059287,2017-08-20,2027-08-20,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ЕВТЕЛСАТ НЕТВОРКС,Л030-00114-77/00073905,2015-07-21,2026-07-21,Услуги связи по предоставлению каналов связи
ЕВТЕЛСАТ НЕТВОРКС,Л030-00114-77/00073906,2015-07-21,2026-07-21,Телематические услуги связи
ЕВТЕЛСАТ НЕТВОРКС,Л030-00114-77/00073907,2015-07-21,2026-07-21,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ЗАЩИТАИНФОТРАНС МИНИСТЕРСТВА ТРАНСПОРТА РОССИЙСКОЙ ФЕДЕРАЦИИ,Л030-00114-77/00677379,2023-09-13,2028-09-13,Услуги связи по предоставлению каналов связи
ЗАЩИЩЕННЫЕ ТЕЛЕКОММУНИКАЦИИ,Л030-00114-77/01001612,2023-12-27,2028-12-27,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ИНСАТКОМ-В,Л030-00114-77/00057541,2017-06-05,2027-06-05,Услуги связи по предоставлению каналов связи
ИНСАТКОМ-В,Л030-00114-77/00057542,2017-06-05,2027-06-05,Телематические услуги связи
ИНСАТКОМ-В,Л030-00114-77/00057543,2017-06-05,2027-06-05,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ИНТАРМИТ,Л030-00114-77/00054249,2016-07-05,2026-07-05,Услуги связи по предоставлению каналов связи
ИНТАРМИТ,Л030-00114-77/00054250,2016-07-05,2026-07-05,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ИНТАРМИТ,Л030-00114-77/00054251,2016-07-05,2026-07-05,Телематические услуги связи
ИНТЕРНЕТ 22,Л030-00114-77/00653158,2023-05-29,2028-05-29,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ИНТЕРНЕТ 22,Л030-00114-77/00653231,2023-05-29,2028-05-29,Телематические услуги связи
ИНТЕРНЕТ 22,Л030-00114-77/00653253,2023-05-29,2028-05-29,Услуги связи по предоставлению каналов связи
ИНФОРМ,Л030-00114-77/00050016,2015-09-08,2026-09-08,Услуги связи по предоставлению каналов связи
ИНФОРМАЦИОННЫЕ СИСТЕМЫ,Л030-00114-77/00083352,2021-10-25,2026-10-25,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ИНФОРМАЦИОННЫЕ СИСТЕМЫ,Л030-00114-77/00083357,2021-10-25,2026-10-25,Телематические услуги связи
ИНФОРМАЦИОННЫЕ СИСТЕМЫ,Л030-00114-77/00083776,2021-12-16,2026-12-16,Услуги связи по предоставлению каналов связи
ИНФОРМАЦИОННЫЙ СЕРВИС,Л030-00114-77/00051676,2016-07-05,2026-07-05,Телематические услуги связи
ИНФОРМАЦИОННЫЙ СЕРВИС,Л030-00114-77/00054510,2016-07-25,2026-07-25,Услуги связи по предоставлению каналов связи
ИНФОРМАЦИОННЫЙ СЕРВИС,Л030-00114-77/00061349,2023-02-27,2028-02-27,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
КАМЫШИНСКИЙ ТЕЛЕКОММУНИКАЦИОННЫЙ ОПЕРАТОР,Л030-00114-77/00077420,2020-05-14,2030-05-14,Телематические услуги связи
КАМЫШИНСКИЙ ТЕЛЕКОММУНИКАЦИОННЫЙ ОПЕРАТОР,Л030-00114-77/00077467,2020-06-05,2030-06-05,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
КИБЕРКОМ,Л030-00114-77/00062592,2018-02-28,2028-02-28,Услуги связи по предоставлению каналов связи
КИБЕРКОМ,Л030-00114-77/00067968,2018-09-04,2028-09-04,Телематические услуги связи
КОЗИЦКИЙ АНАТОЛИЙ МИХАЙЛОВИЧ,Л030-00114-77/00105896,2019-05-07,2029-05-07,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
КОММУНИКАЦИИ ДЛЯ ИННОВАЦИЙ,Л030-00114-77/00079193,2021-02-14,2026-02-14,Услуги связи по предоставлению каналов связи
КОМПАНИЯ СТАР ЛАЙН ВОЛГОГРАД,Л030-00114-77/00064803,2018-07-12,2028-07-12,Телематические услуги связи
КОМПАНИЯ СТАР ЛАЙН ВОЛГОГРАД,Л030-00114-77/00064805,2018-07-12,2028-07-12,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
КОСМОПОЛИТ,Л030-00114-77/00070489,2019-04-02,2029-04-02,Телематические услуги связи
ЛИНК-ТЕЛЕКОМ,Л030-00114-77/00051441,2016-02-17,2026-02-17,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ЛИНК-ТЕЛЕКОМ,Л030-00114-77/00051442,2016-02-17,2026-02-17,Телематические услуги связи
ЛИНКЕЙ,Л030-00114-77/00057575,2016-10-12,2026-10-12,Телематические услуги связи
ЛИНКЕЙ,Л030-00114-77/00057576,2016-10-12,2026-10-12,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ЛИНКЕЙ,Л030-00114-77/00071574,2019-06-18,2029-06-18,Услуги связи по предоставлению каналов связи
МЕАНДР,Л030-00114-77/00620118,2022-10-05,2027-10-05,Услуги связи по предоставлению каналов связи
МИРАНДА-МЕДИА,Л030-00114-77/00078334,2019-04-10,2029-04-10,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ,Л030-00114-77/00049430,2012-07-25,2027-07-25,Телематические услуги связи
МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ,Л030-00114-77/00049627,2012-07-25,2027-07-25,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ,Л030-00114-77/00061841,2018-04-18,2028-04-18,Услуги связи по предоставлению каналов связи
МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ,Л030-00114-77/00067835,2016-12-29,2026-12-29,Услуги связи по предоставлению каналов связи
МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ,Л030-00114-77/00076216,2020-05-30,2030-05-30,Телематические услуги связи
МОБИЛЬНЫЕ ТЕЛЕСИСТЕМЫ,Л030-00114-77/00076698,2020-06-30,2030-06-30,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
МУЛЬТИЛАЙН,Л030-00114-77/00051259,2015-09-08,2026-09-08,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
МУЛЬТИЛАЙН,Л030-00114-77/00051261,2015-09-08,2026-09-08,Услуги связи по предоставлению каналов связи
Н-РЕГИОН,Л030-00114-77/00065079,2018-07-12,2028-07-12,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
Н-РЕГИОН,Л030-00114-77/00065080,2018-07-12,2028-07-12,Телематические услуги связи
НИКОЛАЕВ АНДРЕЙ ЮРЬЕВИЧ,Л030-00114-77/00072352,2019-08-07,2029-08-07,Телематические услуги связи
НИКОЛАЕВ АНДРЕЙ ЮРЬЕВИЧ,Л030-00114-77/00072353,2019-08-07,2029-08-07,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ОПТИМАТЕЛ,Л030-00114-77/00001347,2022-03-10,2027-03-10,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ОРАНЖ БИЗНЕС СЕРВИСЕЗ,Л030-00114-77/00069795,2016-11-08,2026-11-08,Услуги связи по предоставлению каналов связи
ПАУЭРНЕТ,Л030-00114-77/00077642,2019-08-27,2029-08-27,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ПАУЭРНЕТ,Л030-00114-77/00077643,2019-08-27,2029-08-27,Телематические услуги связи
ПРОМЕТЕЙ,Л030-00114-77/00106058,2016-12-28,2026-12-28,Услуги связи по предоставлению каналов связи
ПЭЙ МАНИ,Л030-00114-77/00072712,2019-08-28,2029-08-28,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
РАДИОКОМПАНИЯ ВЕКТОР,Л030-00114-77/00083979,2022-01-20,2027-01-20,Услуги связи по предоставлению каналов связи
РАДИОКОМПАНИЯ ВЕКТОР,Л030-00114-77/00087867,2021-02-19,2026-02-19,Телематические услуги связи
РАДИОКОМПАНИЯ ВЕКТОР,Л030-00114-77/00087869,2021-02-19,2026-02-19,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
РЕГИОНАЛЬНЫЕ СЕТИ,Л030-00114-77/00065274,2018-06-20,2028-06-20,Телематические услуги связи
РЕГИОНАЛЬНЫЕ СЕТИ,Л030-00114-77/00065275,2018-06-20,2028-06-20,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
РЕГИОНАЛЬНЫЕ СЕТИ,Л030-00114-77/00065276,2018-06-20,2028-06-20,Услуги связи по предоставлению каналов связи
РЕГИОНТЕХСВЯЗЬ,Л030-00114-77/00107009,2017-07-20,2027-07-20,Телематические услуги связи
РОБОР,Л030-00114-77/00054887,2016-07-28,2026-07-28,Телематические услуги связи
РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ,Л030-00114-77/00075267,2020-06-17,2030-06-17,Услуги связи по предоставлению каналов связи
РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ,Л030-00114-77/00075268,2020-06-17,2030-06-17,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ,Л030-00114-77/00075269,2020-06-17,2030-06-17,Телематические услуги связи
РТ ЦЕНТР,Л030-00114-77/00055153,2016-08-19,2026-07-03,Телематические услуги связи
РТ ЦЕНТР,Л030-00114-77/00055154,2016-08-19,2026-07-20,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
САТИС-ТЛ-94,Л030-00114-77/00069899,2019-06-25,2029-06-25,Телематические услуги связи
САТИС-ТЛ-94,Л030-00114-77/00069900,2019-06-25,2029-06-25,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
САТИС-ТЛ-94,Л030-00114-77/00087635,2017-03-01,2027-03-01,Услуги связи по предоставлению каналов связи
СВЯЗЬ КОМПЛЕКС,Л030-00114-77/00629582,2022-11-28,2027-11-28,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
СВЯЗЬ КОМПЛЕКС,Л030-00114-77/00629584,2022-11-28,2027-11-28,Телематические услуги связи
СВЯЗЬ ОБЪЕКТОВ ТРАНСПОРТА И ДОБЫЧИ НЕФТИ,Л030-00114-77/00075541,2016-12-08,2026-12-08,Услуги связи по предоставлению каналов связи
СВЯЗЬ ОБЪЕКТОВ ТРАНСПОРТА И ДОБЫЧИ НЕФТИ,Л030-00114-77/00078191,2021-01-27,2026-01-27,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
СВЯЗЬ,Л030-00114-77/00068409,2018-09-14,2028-09-14,Телематические услуги связи
СВЯЗЬ,Л030-00114-77/00068412,2018-09-14,2028-09-14,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
СВЯЗЬ-М,Л030-00114-77/00110628,2018-03-01,2028-03-01,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
СВЯЗЬ-М,Л030-00114-77/00110630,2018-03-01,2028-03-01,Телематические услуги связи
СВЯЗЬИНФОРМ,Л030-00114-77/00057188,2017-02-17,2027-02-17,Услуги связи по предоставлению каналов связи
СВЯЗЬИНФОРМ,Л030-00114-77/00057189,2017-02-17,2027-02-17,Телематические услуги связи
СВЯЗЬИНФОРМ,Л030-00114-77/00057190,2017-02-17,2027-02-17,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
СВЯЗЬИНФОРМ,Л030-00114-77/00069527,2019-02-13,2029-02-13,Телематические услуги связи
СВЯЗЬИНФОРМ,Л030-00114-77/00069528,2019-02-13,2029-02-13,Услуги связи по предоставлению каналов связи
СВЯЗЬИНФОРМ,Л030-00114-77/00069529,2019-02-13,2029-02-13,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
СВЯЗЬИНФОРМ,Л030-00114-77/00072955,2019-09-16,2029-09-16,Телематические услуги связи
СЕВЕРЕН-ТЕЛЕКОМ,Л030-00114-77/00055025,2016-08-03,2026-08-03,Телематические услуги связи
СЕВЕРЕН-ТЕЛЕКОМ,Л030-00114-77/00057003,2017-03-05,2027-03-05,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
СЕРВИС ТЕЛЕКОМ,Л030-00114-77/00083539,2021-12-07,2026-12-07,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
СЕРВИС ТЕЛЕКОМ,Л030-00114-77/00083540,2021-12-07,2026-12-07,Телематические услуги связи
СЕРВИС ТЕЛЕКОМ,Л030-00114-77/00083541,2021-12-07,2026-12-07,Услуги связи по предоставлению каналов связи
СИБИРСКАЯ ИНТЕРНЕТ КОМПАНИЯ,Л030-00114-77/00072443,2015-07-12,2026-07-12,Телематические услуги связи
СИБИРСКАЯ ИНТЕРНЕТ КОМПАНИЯ,Л030-00114-77/00072447,2016-06-08,2026-06-08,Услуги связи по предоставлению каналов связи
СИБИРСКАЯ ИНТЕРНЕТ КОМПАНИЯ,Л030-00114-77/00073035,2019-10-26,2029-10-26,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
СИЛВЕРКОМ.РУ,Л030-00114-77/00639182,2023-01-27,2028-01-27,Услуги связи по предоставлению каналов связи
СИМВОЛ,Л030-00114-77/00069505,2018-12-26,2028-12-26,Телематические услуги связи
СКАРТЕЛ,Л030-00114-77/00064892,2018-05-07,2028-05-07,Телематические услуги связи
СКАРТЕЛ,Л030-00114-77/00064893,2018-05-07,2028-05-07,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
СОВРЕМЕННЫЕ ТЕХНОЛОГИИ СВЯЗИ,Л030-00114-77/00755646,2023-11-02,2028-11-02,Услуги связи по предоставлению каналов связи
СПУТНИКОВАЯ СВЯЗЬ,Л030-00114-77/00072682,2019-08-28,2029-08-28,Телематические услуги связи
СПУТНИКОВАЯ СВЯЗЬ,Л030-00114-77/00072683,2019-08-28,2029-08-28,Услуги связи по предоставлению каналов связи
СТАРТ,Л030-00114-77/00072186,2019-07-24,2029-07-24,Телематические услуги связи
СТАРТ,Л030-00114-77/00072189,2019-07-24,2029-07-24,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
Т2 МОБАЙЛ,Л030-00114-77/00066233,2015-06-16,2027-07-25,Телематические услуги связи
Т2 МОБАЙЛ,Л030-00114-77/00066234,2015-06-16,2027-07-25,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
Т2 МОБАЙЛ,Л030-00114-77/00068885,2019-04-10,2029-04-10,Телематические услуги связи
Т2 МОБАЙЛ,Л030-00114-77/00068887,2019-04-10,2029-04-10,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
Т2 МОБАЙЛ,Л030-00114-77/00642469,2023-03-02,2028-03-02,Услуги связи по предоставлению каналов связи
ТАТА КОММЬЮНИКЕЙШНС РАША,Л030-00114-77/00078895,2018-10-28,2028-10-28,Услуги связи по предоставлению каналов связи
ТВЕ-ТЕЛЕКОМ,Л030-00114-77/01016386,2024-01-12,2029-01-12,Телематические услуги связи
ТВЕ-ТЕЛЕКОМ,Л030-00114-77/01016393,2024-01-12,2029-01-12,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ТЕВИЯ,Л030-00114-77/00076276,2020-04-19,2030-04-19,Услуги связи по предоставлению каналов связи
ТЕЛЕКОМ-ВОЛГА,Л030-00114-77/00080163,2021-06-20,2026-06-20,Услуги связи по предоставлению каналов связи
ТЕЛЕКОМ-ВОЛГА,Л030-00114-77/00087745,2015-12-21,2026-12-21,Телематические услуги связи
ТЕЛЕКОМ-ВОЛГА,Л030-00114-77/00087746,2015-12-21,2026-12-21,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ТЕЛЕТАЙМ,Л030-00114-77/00069574,2016-05-26,2026-05-26,Услуги связи по предоставлению каналов связи
ТЕЛЕТАЙМ,Л030-00114-77/00069575,2017-06-14,2027-06-14,Телематические услуги связи
ТЕЛЕТАЙМ,Л030-00114-77/00069576,2017-06-14,2027-06-14,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ТЕМА-ТЕЛЕКОМ БИЗНЕС,Л030-00114-77/00065088,2018-07-12,2028-07-12,Телематические услуги связи
ТЕМА-ТЕЛЕКОМ,Л030-00114-77/00068360,2018-07-12,2028-07-12,Телематические услуги связи
ТЕХНОЛОГИИ СВЯЗИ,Л030-00114-77/00072971,2019-12-18,2029-12-18,Телематические услуги связи
ТЕХНОЛОГИИ СВЯЗИ,Л030-00114-77/00072972,2019-12-18,2029-12-18,Услуги связи по предоставлению каналов связи
ТЕХНОЛОГИИ СВЯЗИ,Л030-00114-77/00072973,2019-12-18,2029-12-18,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
Тищук Валерий Леонидович,Л030-00114-77/00075589,2020-05-06,2030-05-06,Телематические услуги связи
ТОЧКА ДОСТУПА,Л030-00114-77/00650273,2023-05-11,2028-05-11,Телематические услуги связи
ТОЧКА ДОСТУПА,Л030-00114-77/00650274,2023-05-11,2028-05-11,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ТРИВОН НЕТВОРКС,Л030-00114-77/00076134,2019-11-20,2029-11-20,Телематические услуги связи
ТРИВОН НЕТВОРКС,Л030-00114-77/00076137,2017-08-04,2027-08-04,Услуги связи по предоставлению каналов связи
ТРИВОН НЕТВОРКС,Л030-00114-77/00076138,2017-08-04,2027-08-04,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
УНИКО,Л030-00114-77/00059159,2017-10-16,2027-10-16,Телематические услуги связи
УНИКО,Л030-00114-77/00077133,2020-09-15,2030-09-15,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
УНИКО,Л030-00114-77/00078729,2021-01-27,2026-01-27,Услуги связи по предоставлению каналов связи
ФАРТЕЛ,Л030-00114-77/00072240,2019-07-21,2029-07-21,Телематические услуги связи
ФАРТЕЛ,Л030-00114-77/00072241,2019-07-21,2029-07-21,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ФАСТКОМ,Л030-00114-77/00060031,2016-07-25,2026-07-25,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ФРИДОМ,Л030-00114-77/00069959,2019-06-10,2029-06-10,Телематические услуги связи
ФРИДОМ,Л030-00114-77/00069960,2019-07-21,2029-07-21,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ЦЕНТРИНФОРМ,Л030-00114-77/00070382,2019-06-05,2029-06-05,Телематические услуги связи
ЧИТАТЕХЭНЕРГО,Л030-00114-77/00075471,2020-04-01,2030-04-01,Услуги связи по предоставлению каналов связи
ЭЛЕКТРОННЫЕ РАДИО ОПТИЧЕСКИЕ СИСТЕМЫ,Л030-00114-77/00049442,2015-07-27,2026-07-27,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ЭЛЕКТРОННЫЕ РАДИО ОПТИЧЕСКИЕ СИСТЕМЫ,Л030-00114-77/00049502,2015-10-19,2026-10-19,Телематические услуги связи
ЭНЛАИН,Л030-00114-77/01011632,2024-01-12,2029-01-12,Услуги связи по предоставлению каналов связи
ЭР-ТЕЛЕКОМ ХОЛДИНГ,Л030-00114-77/00075310,2020-04-19,2030-04-19,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ЭР-ТЕЛЕКОМ ХОЛДИНГ,Л030-00114-77/00075321,2020-04-19,2030-04-19,Телематические услуги связи
ЭР-ТЕЛЕКОМ ХОЛДИНГ,Л030-00114-77/00075403,2020-04-19,2030-04-19,Услуги связи по предоставлению каналов связи
ЮГ ТЕЛЕКОМ,Л030-00114-77/00082661,2021-09-16,2026-09-16,Услуги связи по предоставлению каналов связи
ЮГ ТЕЛЕКОМ,Л030-00114-77/00082662,2021-09-16,2026-09-16,Телематические услуги связи
ЮГ-ТЕЛЕКОМ-К,Л030-00114-77/00110483,2019-09-16,2029-09-16,Телематические услуги связи
ЮГ-ТЕЛЕКОМ-К,Л030-00114-77/00110484,2019-09-16,2029-09-16,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ЮГТЕЛЕКОМ,Л030-00114-77/00155140,2022-05-06,2027-05-06,Телематические услуги связи
ЮГТЕЛЕКОМ,Л030-00114-77/00155149,2022-05-06,2027-05-06,Услуги связи по передаче данных, за исключением услуг связи по передаче данных для целей передачи голосовой информации
ЮГТЕЛЕКОМ,Л030-00114-77/00155166,2022-05-06,2027-05-06,Услуги связи по предоставлению каналов связи
